entry price,close price,profit,entry price difference, open_time, close_time,open_time,close_time
2018.7,2016.7,-2.0,2.5,,,2023-11-20 12:49:46,2023-11-20 12:50:56
2018.8,2016.8,-2.0,2.5,,,2023-11-20 12:47:09,2023-11-20 12:48:41
2018.3,2021.0,-2.7,-1.7,,,2023-11-20 13:07:30,2023-11-20 13:13:52
2022.6,2025.1,2.5,1.9,,,2023-11-20 13:14:39,2023-11-20 13:15:15
2022.4,2025.0,2.6,2.2,,,2023-11-20 13:18:29,2023-11-20 13:23:55
2026.2,2024.2,-2.0,1.7,,,2023-11-20 13:25:37,2023-11-20 13:27:55
2026.3,2030.7,4.4,1.9,,,2023-11-20 13:28:43,2023-11-20 13:31:00
2027.7,2025.3,-2.4,2.0,,,2023-11-20 13:33:18,2023-11-20 13:35:10
2032.5,2036.6,4.2,1.6,,,2023-11-20 13:53:44,2023-11-20 13:56:28
2037.8,2035.7,-2.1,2.1,,,2023-11-20 13:57:15,2023-11-20 14:04:16
2038.4,2042.2,3.8,1.7,,,2023-11-20 14:43:05,2023-11-20 14:46:33
2034.5,2036.6,-2.1,-1.6,,,2023-11-20 14:50:26,2023-11-20 14:56:31
2036.6,2039.3,-2.7,-1.8,,,2023-11-20 15:02:11,2023-11-20 15:04:15
