entry price,close price,profit,entry price difference,open_time,close_time
2115.8,2113.8,2.0,0.0,,
2109.4,2107.2,2.2,0.0,,
2107.5,2110.3,2.8,0.0,,
2109.2,2111.4,2.2,0.0,,
2108.3,2106.3,2.1,0.0,,
2105.0,2107.5,-2.5,0.0,,
2107.6,2109.6,2.1,0.0,,
2110.7,2112.7,2.0,0.0,,
2116.4,2119.4,-3.0,0.0,,
2115.5,2117.9,2.4,0.0,,
2122.8,2125.9,3.1,0.0,,
2121.8,2124.6,2.8,0.0,,
2124.0,2121.2,-2.8,0.0,,
2116.4,2118.7,2.3,0.0,,
2118.7,2116.0,-2.7,0.0,,
2113.9,2110.0,3.9,0.0,,
2111.8,2109.0,2.9,0.0,,
2108.8,2111.0,2.2,0.0,,
2109.3,2111.7,2.4,0.0,,
2113.2,2111.2,2.0,0.0,,
2110.8,2108.2,2.6,0.0,,
2107.4,2105.1,-2.2,0.0,,
2106.8,2104.6,-2.2,0.0,,
2103.9,2099.1,4.8,0.0,,
2099.2,2101.4,-2.2,0.0,,
2104.0,2106.4,-2.4,0.0,,
2106.7,2109.0,-2.3,0.0,,
2109.0,2111.0,2.0,0.0,,
2110.1,2107.5,2.6,0.0,,
2107.3,2105.1,-2.3,0.0,,
2104.6,2106.7,2.0,0.0,,
2106.4,2108.6,-2.3,0.0,,
2108.2,2111.4,-3.2,0.0,,
2112.4,2114.6,2.2,0.0,,
2105.5,2103.2,2.3,0.0,,
2099.1,2102.2,-3.1,0.0,,
2105.5,2101.9,3.6,0.0,,
2100.6,2103.0,-2.4,0.0,,
2102.0,2104.2,-2.2,0.0,,
2104.8,2106.8,2.0,0.0,,
