"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Funding Fee","Transaction Fee","Transaction Fee(BNB)","Opened","Closed","Status"
"MATICUSDT","Cross","Long","0.49170000","0.49360000","100.00000000","100.00000000","0.19000000","0E-8","-0.00983400","0E-8","2024-07-25 21:00:37.173","2024-07-25 21:21:15.173","Closed"
"MATICUSDT","Cross","Short","0.49880000","0.49680000","100.00000000","100.00000000","0.20000000","0E-8","-0.02494000","0E-8","2024-07-25 17:18:34.247","2024-07-25 17:34:43.808","Closed"
"MATICUSDT","Cross","Short","0.49840000","0.49970000","100.00000000","100.00000000","-0.13000000","0E-8","-0.00996800","0E-8","2024-07-25 16:48:56.353","2024-07-25 17:04:04.844","Closed"
"MATICUSDT","Cross","Long","0.49940000","0.50160000","100.00000000","100.00000000","0.22000000","0E-8","-0.05005000","0E-8","2024-07-25 16:31:01.245","2024-07-25 16:36:32.081","Closed"
"MATICUSDT","Cross","Short","0.49850000","0.49640000","100.00000000","100.00000000","0.21000000","0E-8","-0.02492499","0E-8","2024-07-25 15:30:15.348","2024-07-25 15:44:39.895","Closed"
"MATICUSDT","Cross","Short","0.49890000","0.49670000","100.00000000","100.00000000","0.22000000","0E-8","-0.00997800","0E-8","2024-07-25 12:45:23.625","2024-07-25 13:02:21.955","Closed"
"MATICUSDT","Cross","Long","0.50390000","0.50240000","100.00000000","100.00000000","-0.15000000","0E-8","-0.01007800","0E-8","2024-07-25 08:43:08.882","2024-07-25 10:10:26.679","Closed"
"MATICUSDT","Cross","Short","0.50300000","0.50070000","100.00000000","100.00000000","0.23000000","0E-8","-0.02515000","0E-8","2024-07-25 07:30:28.208","2024-07-25 07:48:45.388","Closed"
"MATICUSDT","Cross","Short","0.50160000","0.50280000","100.00000000","100.00000000","-0.12000000","0E-8","-0.05022000","0E-8","2024-07-25 06:15:43.754","2024-07-25 06:20:41.621","Closed"
"MATICUSDT","Cross","Long","0.50270000","0.50470000","100.00000000","100.00000000","0.20000000","0E-8","-0.01005400","0E-8","2024-07-25 04:51:44.276","2024-07-25 05:33:48.257","Closed"
"MATICUSDT","Cross","Long","0.51890000","0.51750000","100.00000000","100.00000000","-0.14000000","0E-8","-0.01037800","0E-8","2024-07-25 00:45:39.540","2024-07-25 01:04:28.665","Closed"
"MATICUSDT","Cross","Long","0.53030000","0.53250000","100.00000000","100.00000000","0.22000000","0E-8","-0.02651500","0E-8","2024-07-23 18:47:20.672","2024-07-23 18:54:03.459","Closed"
"MATICUSDT","Cross","Short","0.54630000","0.54410000","100.00000000","100.00000000","0.22000000","0E-8","-0.05452000","0E-8","2024-07-23 14:39:04.133","2024-07-23 14:48:19.664","Closed"
"MATICUSDT","Cross","Short","0.54600000","0.54790000","100.00000000","100.00000000","-0.19000000","0E-8","-0.01092000","0E-8","2024-07-23 14:28:57.444","2024-07-23 14:36:12.905","Closed"
"MATICUSDT","Cross","Long","0.54890000","0.55080000","100.00000000","100.00000000","0.19000000","0E-8","-0.01097800","0E-8","2024-07-23 14:15:05.881","2024-07-23 14:15:48.307","Closed"
"MATICUSDT","Cross","Short","0.54700000","0.54440000","100.00000000","100.00000000","0.26000000","0E-8","-0.02735000","0E-8","2024-07-23 13:40:33.055","2024-07-23 13:41:28.839","Closed"
"MATICUSDT","Cross","Short","0.54760000","0.54920000","100.00000000","100.00000000","-0.16000000","0E-8","-0.02738000","0E-8","2024-07-23 13:36:53.808","2024-07-23 13:37:56.212","Closed"
"MATICUSDT","Cross","Short","0.54610000","0.54750000","100.00000000","100.00000000","-0.14000000","0E-8","-0.02730500","0E-8","2024-07-23 13:13:02.393","2024-07-23 13:21:08.612","Closed"
"MATICUSDT","Cross","Long","0.54700000","0.54890000","100.00000000","100.00000000","0.19000000","0E-8","-0.02735000","0E-8","2024-07-23 12:37:49.541","2024-07-23 13:00:18.263","Closed"
"MATICUSDT","Cross","Long","0.52680000","0.52920000","100.00000000","100.00000000","0.24000000","0E-8","0E-8","0E-8","2024-07-23 08:00:16.124","2024-07-23 08:27:03.583","Closed"
"MATICUSDT","Cross","Long","0.53270000","0.53480000","100.00000000","100.00000000","0.21000000","0E-8","-0.05337500","0E-8","2024-07-23 00:45:16.524","2024-07-23 00:50:25.148","Closed"
"MATICUSDT","Cross","Short","0.54070000","0.54240000","100.00000000","100.00000000","-0.17000000","0E-8","-0.01081400","0E-8","2024-07-22 13:30:44.294","2024-07-22 13:34:35.816","Closed"
"MATICUSDT","Cross","Long","0.53650000","0.53860000","100.00000000","100.00000000","0.21000000","0E-8","-0.02682500","0E-8","2024-07-22 09:23:57.458","2024-07-22 09:54:17.666","Closed"
"MATICUSDT","Cross","Short","0.54020000","0.53800000","100.00000000","100.00000000","0.22000000","0E-8","-0.01080400","0E-8","2024-07-22 05:30:17.933","2024-07-22 05:39:51.578","Closed"
"MATICUSDT","Cross","Short","0.54650000","0.54820000","100.00000000","100.00000000","-0.17000000","0E-8","-0.02732500","0E-8","2024-07-22 01:18:57.351","2024-07-22 01:21:19.954","Closed"
